,ID,Task,Client,Area,Country,Contact,Assignee,Completion,Start date,Deadline,Budget,Transaction type,Account,Version,Available
,249,Task #250,"Gislason, Kihn and VonRueden",Metrics,Western Sahara,Gladyce.Kuphal89@example.org,Edmond Osinski I, 57%,24.02.2022,12.07.2022,"6 504,58 €",payment,MC4060530781979143V65176073,9.0.3,
,250,Task #251,Turner Group,Factors,Qatar,Trent56@example.net,Kristie O'Hara PhD, 28%,07.06.2022,04.09.2022,"6 361,50 €",deposit,AT400606729260777033,6.9.0,
,251,Task #252,Considine - Bosco,Metrics,Greece,Bennett_Mann18@example.net,Jerry Schowalter, 93%,27.05.2022,08.08.2022,"10 597,85 €",deposit,GR57322331398P784342977U391,8.6.5,
,252,Task #253,"Prosacco, Moore and Moen",Factors,Comoros,Korey84@example.org,Guadalupe Hackett, 93%,18.03.2022,30.06.2022,"7 935,35 €",withdrawal,SE4902105030314775496809,6.8.1,
,253,Task #254,Gibson Group,Integration,Falkland Islands (Malvinas),Jaquelin86@example.net,Tina Steuber, 26%,16.03.2022,18.08.2022,"1 550,06 €",deposit,BE32389650240735,5.9.7,
,254,Task #255,"Nienow, Romaguera and Effertz",Integration,Gabon,Luther76@example.net,Dr. Lucas Kihn, 87%,27.03.2022,25.08.2022,"6 945,11 €",withdrawal,MK212555P520D832568,2.8.8,
,255,Task #256,"Oberbrunner, Homenick and Daniel",Operations,Luxembourg,Nicholas8@example.org,Tommy Roob III, 74%,13.04.2022,02.08.2022,"6 967,84 €",deposit,RO85SZQS901K0291430B9335,7.1.2,
,256,Task #257,"Mante, Moore and Jacobson",Directives,Sweden,Nick15@example.net,Desiree Kshlerin, 99%,06.03.2022,17.07.2022,"10 252,36 €",payment,PK25GFGR0600790040467345,1.2.4,
,257,Task #258,Zieme - Leffler,Configuration,Uruguay,Viva_Mueller@example.com,Margie Stiedemann, 95%,26.04.2022,03.10.2022,"6 769,45 €",deposit,GE79XV5701680055006945,3.3.1,
,258,Task #259,Marks - Abshire,Research,Falkland Islands (Malvinas),Lemuel.Gerhold22@example.org,Joan Yundt, 90%,01.06.2022,28.08.2022,"2 691,19 €",payment,HR8652009112126047017,1.1.6,
,259,Task #260,McLaughlin - Witting,Solutions,Anguilla,Gunnar.Kuhn0@example.org,Marjorie Corkery, 89%,11.04.2022,04.08.2022,"3 867,31 €",payment,FI6690615155077286,1.5.1,
,260,Task #261,Mills - Brekke,Configuration,Malta,Eleazar.Dicki@example.net,Angelo Rath, 75%,22.05.2022,23.08.2022,"9 675,11 €",deposit,MC45800970032316Q5539229419,8.2.3,
,261,Task #262,Heathcote - Schimmel,Usability,Congo,Pasquale_Sauer75@example.org,Nadine Toy, 25%,12.03.2022,11.07.2022,"2 574,14 €",deposit,PK15XEUT0858407440010089,3.8.3,
,262,Task #263,Howell Group,Web,Montenegro,Ena74@example.net,Beth Schmidt, 5%,04.06.2022,04.07.2022,"4 369,75 €",payment,BA930302962020010627,6.0.5,
,263,Task #264,Torp Inc,Data,Yemen,Fritz71@example.com,Veronica Huel DVM, 83%,03.05.2022,27.08.2022,"8 789,99 €",invoice,GL3700755059085054,3.5.9,
,264,Task #265,"Heller, Jenkins and Schowalter",Assurance,Algeria,Garnet_Bogisich@example.com,Jamie Gerlach, 58%,29.04.2022,28.06.2022,"8 994,98 €",invoice,EE560072050790765726,8.9.3,
,265,Task #266,Hilll - Kerluke,Identity,Cayman Islands,Ocie_Stiedemann@example.org,Aubrey Predovic, 92%,21.03.2022,09.08.2022,"8 974,90 €",payment,DE48004117609909460083,3.0.2,
,266,Task #267,Wolff and Sons,Web,Pitcairn Islands,Isaias.Zieme13@example.org,Freddie Hilll, 93%,17.05.2022,20.07.2022,"5 710,91 €",withdrawal,TR038008679005110027300309,1.5.1,
,267,Task #268,Metz - O'Keefe,Factors,Panama,Lois.Block@example.com,Marsha Stanton DVM, 66%,28.05.2022,12.08.2022,"6 978,67 €",invoice,XK187338749700039357,6.1.7,
,268,Task #269,Harris - Ritchie,Factors,Palau,Alana_Blanda80@example.com,Brendan Schowalter, 96%,23.04.2022,20.09.2022,"2 101,97 €",payment,BA238053522306003958,7.4.8,
,269,Task #270,Ward - Dooley,Research,Luxembourg,Bernadine5@example.com,Raymond Treutel, 37%,24.03.2022,22.09.2022,"10 318,41 €",payment,MR7100900990994071800046778,4.6.4,
,270,Task #271,"Emard, Conn and Haley",Configuration,Rwanda,Eldridge3@example.com,Angelo Kuhlman, 49%,09.05.2022,09.07.2022,"9 524,03 €",payment,CH1600965N21341565V41,3.9.2,
,271,Task #272,Olson - Raynor,Infrastructure,Afghanistan,Zoe81@example.net,Lauren Brakus, 21%,25.03.2022,07.10.2022,"5 977,51 €",deposit,MT19SYKT92473907T3307308279729Z,2.4.1,
,272,Task #273,Denesik Inc,Infrastructure,Antarctica (the territory South of 60 deg S),Afton.Beatty83@example.net,Casey Williamson, 94%,10.05.2022,28.09.2022,"2 985,65 €",deposit,GR7160700521032588O527Y6175,6.2.7,
,273,Task #274,Simonis LLC,Branding,Iceland,Nola8@example.net,Mathew Weissnat, 5%,13.05.2022,10.09.2022,"7 164,51 €",deposit,MK970090D68B012RL67,2.9.4,
,274,Task #275,Hilpert - Gibson,Directives,Algeria,Harvey.Bode@example.org,Ed Pouros, 72%,09.05.2022,14.09.2022,"3 031,81 €",payment,PS85U503230039052001007140571,6.8.9,
,275,Task #276,Cremin Group,Solutions,Tanzania,Shakira.Hahn59@example.com,Miss Sonya Lang, 4%,06.03.2022,26.07.2022,"7 917,72 €",deposit,GI23GCXW309960U22741796,9.9.4,
,276,Task #277,Bartoletti - Block,Identity,Saint Helena,Brittany.Hudson@example.org,Johnnie Spencer, 54%,16.04.2022,16.09.2022,"4 186,75 €",withdrawal,BR5669676128100280450937435D3,9.4.6,
,277,Task #278,Jenkins LLC,Creative,United Kingdom,Darrin_Baumbach41@example.org,Lonnie Muller, 2%,15.05.2022,06.10.2022,"9 498,55 €",deposit,BR4912774337076818003347867O9,6.8.1,
,278,Task #279,Rosenbaum - Collier,Integration,Morocco,Velda_Bradtke@example.org,Amelia Weber, 56%,05.03.2022,26.06.2022,"6 058,07 €",invoice,LT237500603918003088,6.2.5,
,279,Task #280,"Fisher, Veum and Moen",Accountability,Rwanda,Dovie50@example.org,Maggie Dare, 50%,28.05.2022,06.10.2022,"5 380,57 €",payment,LU28024309008B485915,1.4.2,
,280,Task #281,"Haag, Welch and Toy",Creative,Morocco,Virginie92@example.org,Henry Langworth, 34%,24.04.2022,26.07.2022,"6 123,87 €",withdrawal,AT740047700531906195,0.2.1,
,281,Task #282,Moen Group,Markets,Falkland Islands (Malvinas),Jairo.Kutch@example.com,Ivan Turcotte, 73%,15.04.2022,17.09.2022,"2 241,50 €",invoice,NL44DCWT8040016002,0.1.3,
,282,Task #283,Deckow - Bergstrom,Security,French Guiana,Shirley_Brakus94@example.com,Edna Crona, 32%,27.02.2022,05.08.2022,"9 442,02 €",deposit,HR8072590900400684974,5.2.2,
,283,Task #284,"Stark, O'Connell and O'Connell",Factors,Pakistan,Presley83@example.org,Neal Hane, 84%,07.03.2022,26.09.2022,"7 096,41 €",invoice,ES5476702920718100838086,4.7.9,
,284,Task #285,Hudson and Sons,Tactics,Algeria,Mekhi_Hane46@example.net,Dr. Seth Schaden, 23%,09.06.2022,03.07.2022,"2 589,72 €",deposit,IE90502300621346920057,7.1.8,
,285,Task #286,Carroll - Deckow,Tactics,Liechtenstein,Lydia_Heaney@example.com,Santos Adams, 70%,23.03.2022,13.07.2022,"8 501,74 €",invoice,AZ39VFAA06200060056505890338,7.6.7,
,286,Task #287,Armstrong - Doyle,Data,Brazil,Ray.Haley@example.org,Mamie Brakus, 64%,31.03.2022,18.09.2022,"1 822,38 €",invoice,XK462009715002360613,7.7.5,
,287,Task #288,Conn Group,Operations,Mauritius,Lesley.Lindgren12@example.com,Nicole Gerhold, 18%,13.06.2022,27.09.2022,"9 805,97 €",invoice,BH69GZNC34K273882481E2,2.0.4,
,288,Task #289,Reichel Group,Factors,British Indian Ocean Territory (Chagos Archipelago),Jany63@example.org,Emma Goyette, 49%,03.04.2022,25.06.2022,"9 262,34 €",payment,CH3410891583BQU2J68U7,7.7.3,
,289,Task #290,Jerde - Tremblay,Metrics,Libyan Arab Jamahiriya,Donna.Grant@example.org,Lee Mraz, 20%,21.05.2022,07.07.2022,"8 553,41 €",deposit,SK0500700016130650500702,0.2.3,
,290,Task #291,Bogisich LLC,Functionality,Dominican Republic,Drew3@example.com,Milton Stracke, 57%,21.04.2022,22.08.2022,"6 811,75 €",withdrawal,BR5132037036179855095105007Z3,3.5.0,
,291,Task #292,"Lowe, Schneider and Johnson",Configuration,Nepal,Santina_Hand20@example.com,Randal Crona, 92%,14.06.2022,07.08.2022,"7 112,95 €",withdrawal,AD3830400153N7F3983Z701S,2.2.5,
,292,Task #293,"Heidenreich, Rogahn and Kerluke",Program,Aruba,Alexzander_Yost@example.net,Miss Sammy Bins, 31%,10.04.2022,17.08.2022,"9 980,65 €",invoice,GR875041210F205N83536722012,7.5.2,
,293,Task #294,Schimmel - Prosacco,Mobility,Bulgaria,Gussie.Daugherty@example.net,Jay Hickle, 16%,30.04.2022,23.09.2022,"3 949,52 €",payment,BH71WIFV26BI889A50Z339,8.9.8,
,294,Task #295,Erdman and Sons,Usability,South Africa,Jettie32@example.com,Duane Blick, 35%,08.04.2022,17.06.2022,"9 497,13 €",deposit,MT28AAMR04682EO70S33606071I162M,2.9.8,
,295,Task #296,"Osinski, Adams and Shanahan",Metrics,Sweden,Jonatan_Corwin96@example.net,Catherine Rempel, 15%,08.03.2022,20.07.2022,"10 701,67 €",deposit,BR1242963282055042907088006LL,6.2.2,
,296,Task #297,Jaskolski Inc,Division,Thailand,Korbin_Barrows43@example.com,Merle Hauck, 2%,02.04.2022,14.07.2022,"4 289,59 €",withdrawal,MC0940760033882I8461218W425,5.6.3,
,297,Task #298,"Rodriguez, Abbott and Hane",Paradigm,Bulgaria,Jacques_Sawayn77@example.net,Cora Sauer, 96%,20.04.2022,11.09.2022,"4 991,18 €",deposit,BH16VFGW1964909O52F1K8,3.0.0,
,298,Task #299,"Emmerich, Bechtelar and Jones",Factors,Guatemala,Salvatore_Murazik@example.net,Carlton Strosin, 3%,02.05.2022,18.06.2022,"1 563,66 €",deposit,CZ3027060200490870283092,5.5.8,
,299,Task #300,"Boehm, Pfannerstill and Prosacco",Markets,Trinidad and Tobago,Aida75@example.com,Leon Volkman MD, 53%,25.02.2022,19.07.2022,"3 419,15 €",payment,KZ0238968521C041P385,0.4.0,
,300,Task #301,Connelly - Little,Assurance,Greece,Jane_Jast96@example.net,Gilberto Harris, 65%,28.02.2022,05.08.2022,"2 197,47 €",payment,CY48809200965216L94A9A251533,2.0.5,
,301,Task #302,"Runte, Huels and King",Implementation,Jordan,Arlie58@example.com,Oliver White III, 72%,11.04.2022,26.06.2022,"10 587,93 €",payment,PL22071600434040090403470075,7.6.0,
,302,Task #303,Schuppe - Friesen,Metrics,Monaco,Abigayle.Brown@example.org,Byron Dietrich, 47%,29.04.2022,06.07.2022,"3 734,37 €",deposit,ES4635633330271090174771,3.8.3,
,303,Task #304,Schuster - Bartell,Tactics,Myanmar,Octavia6@example.com,Molly Gorczany, 11%,05.03.2022,01.09.2022,"1 121,07 €",payment,IS069474379271001792055044,9.5.4,
,304,Task #305,Braun Group,Markets,Antigua and Barbuda,Watson_Spinka@example.net,Leland Borer, 48%,03.03.2022,29.06.2022,"6 883,78 €",invoice,CH341027388M34R43215I,7.1.8,
,305,Task #306,Sporer Group,Accountability,Namibia,Julie.Toy@example.net,Alex Ebert, 58%,29.03.2022,19.09.2022,"4 585,29 €",payment,LI7070093Y957L82M5009,0.5.2,
,306,Task #307,Witting - Denesik,Security,Saint Pierre and Miquelon,Marcel38@example.net,Jeff Brown, 76%,15.05.2022,28.09.2022,"6 202,73 €",payment,DO94LXLL01003309350930040846,1.5.0,
,307,Task #308,Stark and Sons,Paradigm,Macedonia,Robin98@example.com,Wilbur Koepp, 83%,20.03.2022,10.08.2022,"9 971,36 €",invoice,BE90084605084048,9.0.0,
,308,Task #309,Farrell LLC,Markets,French Southern Territories,Kali.Pagac@example.com,Percy O'Reilly, 78%,15.06.2022,13.07.2022,"4 510,46 €",deposit,CY036300943983150U29R09097G0,6.8.3,
,309,Task #310,"Legros, Green and Ferry",Branding,Venezuela,Eladio.Romaguera@example.org,Dr. Marlon Senger, 30%,01.03.2022,30.09.2022,"3 779,81 €",withdrawal,TR961005567454060200230087,2.1.0,
,310,Task #311,Maggio - Sipes,Intranet,Suriname,Nicolette.Ondricka58@example.net,Jared Runte, 85%,11.04.2022,03.07.2022,"8 093,69 €",withdrawal,NL84FDCS7030100654,2.7.0,
,311,Task #312,"Hagenes, Dach and Smitham",Identity,Turkey,Laverne89@example.net,Pearl Leffler, 5%,04.06.2022,21.08.2022,"4 488,87 €",deposit,LU602800G98EE227W587,3.2.4,
,312,Task #313,O'Keefe Inc,Program,Algeria,Hassan_Cassin77@example.net,Ms. Lucia Beahan, 83%,12.04.2022,20.08.2022,"2 217,84 €",invoice,CR05800110890044009035,9.6.1,
,313,Task #314,Kiehn Inc,Solutions,Jersey,Zechariah.Anderson@example.com,Micheal Herman, 59%,16.03.2022,28.06.2022,"8 634,02 €",withdrawal,SK4800275164368704034369,3.7.3,
,314,Task #315,Johns - Armstrong,Research,Slovenia,Abbigail_Simonis2@example.net,Anita Bahringer, 59%,08.04.2022,22.07.2022,"9 210,53 €",deposit,CZ9500811592591513009282,8.8.5,
,315,Task #316,"Block, Ratke and Rodriguez",Tactics,Suriname,Dexter_Kuhlman@example.net,Mr. Andrew Johnson, 91%,20.03.2022,08.07.2022,"1 972,05 €",deposit,AZ39ORHF01230003695078180038,6.0.1,
,316,Task #317,"Tromp, Erdman and Schmitt",Solutions,Syrian Arab Republic,Kyla_Deckow6@example.com,Bob Bruen, 11%,13.04.2022,23.06.2022,"6 951,98 €",invoice,GB35KIIP46603072460071,3.8.1,
,317,Task #318,Ward - Goodwin,Implementation,Senegal,Presley78@example.net,Shirley Maggio DVM, 29%,07.03.2022,02.08.2022,"1 916,18 €",payment,CH854089946Z78G686377,4.7.8,
,318,Task #319,Walter Inc,Directives,Monaco,Sheila.Gutkowski66@example.org,Melinda Balistreri, 76%,01.04.2022,31.07.2022,"8 397,08 €",payment,LI1554778L8C24071Z064,9.3.5,
,319,Task #320,"Bergstrom, Howe and O'Hara",Intranet,French Polynesia,Alfonso.Balistreri93@example.net,Catherine Casper, 93%,11.03.2022,11.08.2022,"10 585,84 €",payment,PT42077706170050041987048,4.0.3,
,320,Task #321,Towne Group,Integration,Vietnam,Lisandro_Gulgowski89@example.net,Sheryl Olson, 85%,05.06.2022,18.09.2022,"6 411,90 €",withdrawal,AZ37JFOG40802801740073050817,5.3.1,
,321,Task #322,Torphy Group,Communications,Mauritania,Naomie_Huel@example.net,Horace Beahan, 18%,07.05.2022,16.08.2022,"9 447,11 €",deposit,DK2900757502700717,0.9.8,
,322,Task #323,"Altenwerth, Yost and Mitchell",Configuration,Burundi,Winfield_Sporer@example.net,Andre Gleichner, 92%,06.03.2022,29.07.2022,"810,31 €",deposit,IT69L00380960017713QV829R53,9.8.4,
,323,Task #324,Streich - Simonis,Factors,Azerbaijan,Norbert72@example.org,Nick McGlynn, 90%,19.05.2022,11.09.2022,"5 374,90 €",invoice,AZ04TCTG29091903120220046231,0.5.2,
,324,Task #325,Crooks - Oberbrunner,Accounts,Sierra Leone,Christa_Schulist87@example.net,Otis Von, 86%,04.05.2022,10.07.2022,"2 218,92 €",withdrawal,EE980707404260193070,2.6.8,
,325,Task #326,Gerlach - Stiedemann,Mobility,Senegal,Heidi87@example.net,Tomas Schneider, 81%,01.04.2022,29.09.2022,"8 520,60 €",payment,EE575976008049005003,2.4.1,
,326,Task #327,Schaefer - Jenkins,Factors,Burkina Faso,Mozell26@example.org,Gerard Walker Jr., 64%,23.02.2022,01.09.2022,"4 328,04 €",withdrawal,ES5672200700995190025560,7.1.3,
,327,Task #328,"Schmidt, Jenkins and Runolfsson",Accounts,Belize,Jason.Larson33@example.com,Erin Kuphal, 69%,09.06.2022,18.09.2022,"4 390,20 €",deposit,CH58163104867416687E8,6.4.6,
,328,Task #329,Farrell - Huel,Optimization,Luxembourg,Aiden.Ward@example.org,Kendra Nader, 97%,23.04.2022,06.10.2022,"5 715,01 €",withdrawal,PL76077088230395009035060451,9.8.3,
,329,Task #330,"Emard, McDermott and Reinger",Communications,Fiji,Odell_Osinski1@example.com,Gary Will, 56%,16.06.2022,12.09.2022,"9 987,53 €",withdrawal,BE35445110025698,2.6.3,
,330,Task #331,"Sipes, Kovacek and Sporer",Communications,Togo,Delfina25@example.net,Miss Elvira Swaniawski, 86%,13.06.2022,23.07.2022,"1 187,43 €",payment,DE24041908205220068004,3.5.8,
,331,Task #332,Braun LLC,Markets,Swaziland,Madelynn.Ortiz@example.net,Irene Satterfield, 76%,29.03.2022,06.10.2022,"4 915,13 €",payment,IL160490026068410065163,9.2.9,
,332,Task #333,Mante Inc,Implementation,Montserrat,Ubaldo.Cronin54@example.org,Taylor Berge, 58%,28.05.2022,01.09.2022,"841,96 €",payment,HU29026506877003600271267102,9.0.9,
,333,Task #334,"Lowe, Adams and Bashirian",Intranet,Netherlands Antilles,Reece32@example.net,Juan Corwin, 47%,23.05.2022,28.07.2022,"4 289,75 €",payment,PS07355B200320005030030100241,3.5.7,
,334,Task #335,"Altenwerth, Schmitt and Hammes",Usability,Norway,Karine.Okuneva@example.org,Earl Torphy, 17%,19.04.2022,01.10.2022,"9 141,15 €",payment,ME08063901820397003063,2.0.0,
,335,Task #336,Murphy - Tromp,Response,Norway,Easter24@example.net,Harold Runte Jr., 20%,17.03.2022,25.07.2022,"9 472,48 €",payment,BG74JJRF00773953855518,6.9.7,
,336,Task #337,Altenwerth - Weissnat,Infrastructure,Bhutan,Cory_Monahan@example.com,Luther Beer, 89%,17.03.2022,11.08.2022,"6 815,39 €",invoice,VG5894271050030090011100,0.2.4,
,337,Task #338,"Pollich, Lang and Huel",Branding,Venezuela,Lolita.Franey@example.net,Mr. Courtney Gerlach, 0%,09.05.2022,26.07.2022,"10 851,71 €",payment,LV24WVJEDR725W7B0735N,6.7.1,
,338,Task #339,Effertz and Sons,Mobility,Saint Pierre and Miquelon,Jack26@example.net,Kathy Heaney, 4%,28.03.2022,18.09.2022,"7 945,21 €",payment,MC70100503609104039A5J88649,7.5.4,
,339,Task #340,"Jast, Hessel and Bradtke",Metrics,Morocco,Felipe.Dibbert@example.com,Johnnie Johns III, 46%,29.03.2022,04.10.2022,"1 101,49 €",invoice,ME45051730090507004043,7.3.7,
,340,Task #341,Schinner - Kunze,Data,Bulgaria,Adaline.Davis@example.com,Tyrone Abshire, 46%,30.03.2022,29.09.2022,"2 977,98 €",payment,MD35796U9502747FOH610071,7.8.0,
,341,Task #342,Koelpin Inc,Interactions,Morocco,Augustine_Volkman@example.org,Julio Altenwerth, 90%,06.05.2022,01.07.2022,"8 005,47 €",withdrawal,GI80OIVH16378NK95UBG91J,6.2.0,
,342,Task #343,Bergnaum - Rippin,Program,Timor-Leste,Kayleigh.Frami@example.net,Edmond Ratke, 48%,19.05.2022,21.09.2022,"4 974,99 €",withdrawal,HU64897950010866087323100251,2.1.9,
,343,Task #344,Heathcote LLC,Program,Botswana,Hollis.Reilly@example.net,Leon Howe, 95%,02.03.2022,10.09.2022,"1 810,50 €",withdrawal,EE185004318506070420,5.2.1,
,344,Task #345,Emard - Prosacco,Optimization,Austria,Ora_Raynor@example.net,Kara Lubowitz, 98%,13.05.2022,04.08.2022,"7 170,47 €",withdrawal,AE170010040928810008491,0.0.1,
,345,Task #346,O'Conner - Lockman,Solutions,Dominica,Cameron39@example.net,Marion Howell Jr., 77%,01.03.2022,15.08.2022,"10 521,02 €",invoice,JO68NQML3009024670301066352060,1.3.5,
,346,Task #347,Green Group,Paradigm,Myanmar,Jed52@example.com,Miranda Witting, 26%,16.04.2022,25.06.2022,"8 594,24 €",deposit,CY6100975879Y5T7603676147Q40,0.9.7,
,347,Task #348,"Dicki, Funk and Stokes",Factors,Mayotte,Felton82@example.net,Estelle Oberbrunner, 39%,02.03.2022,09.09.2022,"7 757,49 €",payment,MR3802430100872009550040027,7.6.2,
,348,Task #349,"Veum, O'Hara and Schiller",Metrics,Lao People's Democratic Republic,Nolan93@example.net,Ms. Vera Mayer, 97%,22.03.2022,30.09.2022,"10 523,03 €",payment,PL28830350046800130850403049,1.8.1,
,349,Task #350,"Murphy, Jakubowski and Abshire",Integration,Kenya,Era.Dicki94@example.com,Leslie Thiel, 45%,23.05.2022,22.06.2022,"5 687,61 €",deposit,GR42300902426895163Q0288A45,1.5.4,
,350,Task #351,Marvin - Rowe,Data,Rwanda,Noble43@example.org,Dr. Mabel Rutherford, 39%,30.03.2022,19.07.2022,"2 798,15 €",payment,ME09562604010010098419,8.6.9,
,351,Task #352,Ledner - Swaniawski,Data,Singapore,Shane_Robel@example.org,Vanessa Ortiz, 14%,17.04.2022,25.06.2022,"7 907,19 €",deposit,ES2731990200821327009176,0.5.7,
,352,Task #353,Denesik - Ebert,Accounts,Bermuda,Nyah20@example.com,Mrs. Wilbert Bergnaum, 9%,23.03.2022,04.08.2022,"908,76 €",withdrawal,SI46230010033834163,5.9.5,
,353,Task #354,Ryan - Parker,Accountability,Christmas Island,Cullen80@example.com,Tamara Ondricka, 24%,27.05.2022,15.09.2022,"7 165,52 €",deposit,IS090900933408058859030023,8.0.2,
,354,Task #355,Luettgen and Sons,Applications,Palestinian Territory,Deborah82@example.com,Devin Bosco DVM, 56%,01.03.2022,10.09.2022,"4 947,57 €",withdrawal,CY0681008163Z50C97L6A1R6W411,6.6.0,
,355,Task #356,Casper - Greenholt,Solutions,Guinea-Bissau,Cecilia.Rosenbaum75@example.com,Luther Lind, 77%,28.03.2022,26.07.2022,"3 807,27 €",payment,FR709054056901U816219L73087,8.3.1,
,356,Task #357,Fay - Corkery,Intranet,Zambia,Karine59@example.net,Johnny Wehner, 1%,25.05.2022,06.10.2022,"10 195,90 €",withdrawal,GR140031313VHW525984801O797,6.2.5,
,357,Task #358,"Littel, Cassin and Klocko",Usability,Canada,Warren.Weissnat@example.net,Billie Osinski, 2%,10.04.2022,10.08.2022,"10 228,62 €",deposit,DK6350045345306721,8.8.9,
,358,Task #359,Pollich LLC,Applications,Micronesia,Vincent_Feil54@example.com,Margie Wehner, 82%,06.03.2022,29.07.2022,"3 729,26 €",deposit,GT033278A18R261428479127637C,4.9.4,
,359,Task #360,Cormier - O'Hara,Functionality,Armenia,Mossie.Schoen@example.org,Dr. Derrick O'Hara, 80%,13.05.2022,20.08.2022,"7 336,83 €",invoice,BE09214009500213,6.6.4,
,360,Task #361,"Raynor, Kling and Barton",Identity,South Georgia and the South Sandwich Islands,Rasheed67@example.com,Martin Runolfsdottir, 53%,17.05.2022,22.09.2022,"5 900,70 €",payment,SA854553191633349E12R476,6.8.6,
,361,Task #362,Mraz Inc,Quality,San Marino,Larue81@example.net,Shelly Stiedemann, 64%,23.04.2022,21.08.2022,"1 148,01 €",deposit,HU40370030980600100400906882,6.5.8,
,362,Task #363,Auer - Schowalter,Mobility,Nigeria,Deshawn.Buckridge12@example.net,Timothy O'Kon, 69%,09.05.2022,03.09.2022,"9 837,49 €",deposit,DO54YOVQ04315418102070630074,0.5.5,
,363,Task #364,"Wuckert, McDermott and Spinka",Data,Liechtenstein,Nathaniel_Fay29@example.net,Julius Smitham, 64%,27.02.2022,25.06.2022,"1 844,32 €",payment,BE29451488077864,0.8.9,
,364,Task #365,Crist and Sons,Web,Singapore,Kay.Shanahan@example.org,Dana Bashirian PhD, 85%,19.05.2022,31.07.2022,"7 803,86 €",deposit,GR61049269281382IO190ITS6YP,4.3.8,
,365,Task #366,Abernathy - Carroll,Marketing,Guam,Iva.Moore@example.net,Erick Ruecker, 60%,14.05.2022,22.07.2022,"8 293,58 €",withdrawal,CZ4203040043099060016101,1.3.7,
,366,Task #367,"Zboncak, Dach and Denesik",Identity,Saint Helena,Shawn_Dicki@example.net,Mr. Earnest Von, 18%,02.04.2022,09.07.2022,"3 019,09 €",payment,AL20300230607857UK74J9P17059,2.9.5,
,367,Task #368,Flatley - Pfeffer,Factors,Equatorial Guinea,Eladio.Lang73@example.net,Luther Sanford, 80%,19.05.2022,27.08.2022,"10 722,54 €",invoice,MT03SERZ00419591I23T597607910F1,0.5.7,
,368,Task #369,Lebsack - Hegmann,Brand,Puerto Rico,Jocelyn79@example.com,Sharon Gerlach, 19%,27.02.2022,06.08.2022,"3 467,54 €",deposit,SM87F5100400798UC936J79017Q,6.2.2,
,369,Task #370,McClure - Okuneva,Metrics,Norfolk Island,Ashtyn16@example.com,Sean Bosco, 1%,28.04.2022,31.07.2022,"7 297,37 €",deposit,RS83370005108005300955,6.5.2,
,370,Task #371,West LLC,Intranet,Vanuatu,John86@example.net,Dr. Rolando Hauck, 32%,29.05.2022,30.07.2022,"3 501,12 €",invoice,GI03AHFJ5H95D42011056Q6,3.9.6,
,371,Task #372,Satterfield - Lakin,Identity,Heard Island and McDonald Islands,Austen6@example.com,Freda Lang, 70%,10.06.2022,28.06.2022,"2 017,62 €",invoice,PT43067681631242051559266,7.0.5,
,372,Task #373,Stehr Group,Branding,India,Lauriane.Borer33@example.org,Dr. Gilberto Emard, 15%,08.04.2022,01.07.2022,"5 053,54 €",deposit,GL3551250003008005,1.6.4,
,373,Task #374,Wiegand Inc,Operations,Andorra,Federico_Gorczany@example.net,Tom Kutch V, 95%,19.04.2022,10.10.2022,"5 149,13 €",payment,GR226218606PW64MN33048X06B0,0.1.7,
,374,Task #375,Powlowski - Mante,Group,Tuvalu,Antoinette_Gutkowski38@example.net,Ollie Kozey Jr., 55%,16.06.2022,05.07.2022,"7 973,71 €",payment,SM25O05437500668D09629D1950,3.4.3,
,375,Task #376,Will - Will,Integration,Denmark,Freda53@example.com,Scott Koss, 94%,20.04.2022,10.10.2022,"3 008,36 €",withdrawal,BE49135519805211,2.4.1,
,376,Task #377,Schuster and Sons,Interactions,Suriname,Glenda.Kirlin@example.org,Gregory Welch, 80%,01.05.2022,04.07.2022,"5 059,04 €",withdrawal,XK750071744400390066,0.0.3,
,377,Task #378,Johnson - Mertz,Implementation,Gambia,Shany6@example.org,Geoffrey Jast, 47%,19.05.2022,29.06.2022,"4 935,82 €",deposit,SM60W601585222636P782G694O8,9.3.9,
,378,Task #379,"Kassulke, Schmitt and Collier",Response,Bolivia,Ward.Gaylord@example.net,Albert Ziemann, 3%,23.03.2022,14.09.2022,"9 226,25 €",deposit,TN8420888006801007004777,5.0.6,
,379,Task #380,Quitzon Inc,Security,Georgia,Meda.Kuhlman@example.org,Kirk Satterfield, 55%,04.06.2022,22.07.2022,"4 363,57 €",deposit,PT42163300047003611400068,8.0.4,
,380,Task #381,"Jast, Simonis and Legros",Functionality,Luxembourg,Ericka.Mayer@example.com,Jeanne Volkman, 48%,28.03.2022,03.10.2022,"1 798,83 €",withdrawal,BH13DZGBB91I6731K03345,5.9.0,
,381,Task #382,Jacobi Group,Configuration,Palestinian Territory,Dora89@example.net,Albert Nicolas, 80%,02.03.2022,18.07.2022,"2 898,57 €",deposit,IT20R1500904200FQ42WV295424,8.1.7,
,382,Task #383,"Cormier, Schumm and Lesch",Data,Brazil,Violette.Nikolaus38@example.com,Colin Bartoletti, 83%,02.05.2022,14.08.2022,"5 716,17 €",deposit,MR4072304107840745002360247,6.5.2,
,383,Task #384,Welch Group,Communications,Palestinian Territory,Tate.Jacobs@example.net,Dr. Lois Wolf, 78%,30.04.2022,13.09.2022,"7 837,24 €",withdrawal,LT128023738406025946,2.6.4,
